Event_Timestamp_UTC,Request_Id,Conversation_Id,UserId,User_Name,Group_Name,Box_Name,Client_Type,Channel,Chat_Trigger_Type,Request_Source,Workflow_Area,Agent_Pattern,Plugin_Name,MCP_Server,Tool_Invocation_Count,Model_Name,Estimated_Credits_Used,Prompt_Chars,Response_Chars
2026-05-13T09:04:00Z,req-d3660255cf38,conv-8dae4bb19b,d-92675051d5.33a7a52f-dbf7-4f6b-89c9-43d30a61e104,Nina Patel,Retail Analytics Team,Retail Intelligence,KIRO_IDE,IDE,MANUAL,chat,retail-analytics,spec-driven,Browser,No MCP Invoked,7,Claude_Sonnet_4.6_messages,13.96,2026,7781
2026-05-13T09:04:00Z,req-39ba85c122c7,conv-47d541ba50,d-92675051d5.f12818d1-8f2c-4d54-9188-4f7224a4d103,Ethan Brooks,Payments Modernization Team,Payments Transformation,KIRO_IDE,IDE,MANUAL,spec,legacy-modernization,single-agent,GitHub,github,3,Auto_messages,3.18,5136,11340
2026-05-13T09:16:00Z,req-b0cc3b47bccb,conv-d984e408fa,d-92675051d5.7e23e16f-5eb6-49f0-8e5d-a84c5ad99106,Casey Liu,Retail Analytics Team,Retail Intelligence,KIRO_CLI,CLI,MANUAL,plugin-action,retail-analytics,spec-driven,Direct Kiro,No MCP Invoked,0,Auto_messages,2.72,6235,7437
2026-05-13T09:21:00Z,req-d8d05ef11e2b,conv-646ebceb1b,d-92675051d5.a9a3e94b-b147-4fb7-9934-f5ea941fd110,Aisha Khan,AI SDLC Enablement Team,AI Delivery Acceleration,KIRO_IDE,IDE,MANUAL,mcp-tool,spec-orchestration,orchestrated-multi-agent,Jira,No MCP Invoked,5,Claude_Sonnet_4.6_messages,27.73,5813,5715
2026-05-13T09:29:00Z,req-7653a608668f,conv-68ac4a536a,d-92675051d5.838f6b85-1e72-4404-a193-f1b0dc79d107,Elena Garcia,Platform Reliability Engineering,Platform Reliability,KIRO_CLI,CLI,MANUAL,hook,platform-hardening,human-in-loop,AWS Docs,No MCP Invoked,0,Claude_Sonnet_4.6_messages,4.91,5391,4332
2026-05-13T10:10:00Z,req-a350d3e86ed5,conv-48930ba86f,d-92675051d5.9b1ac779-7da0-470f-bfd8-fba1849ca111,Ben Foster,AI SDLC Enablement Team,AI Delivery Acceleration,KIRO_IDE,IDE,INLINE_CHAT,review,guardrail-evaluation,orchestrated-multi-agent,Jira,github,7,Claude_Sonnet_4.6_messages,15.44,2885,7954
2026-05-13T10:13:00Z,req-429027f2a3cb,conv-fc6dee6807,d-92675051d5.0ec463de-81c2-4f79-9d4c-029f7bb0f101,Priya Nair,Payments Modernization Team,Payments Transformation,PLUGIN,PLUGIN,INLINE_CHAT,review,legacy-modernization,human-in-loop,Direct Kiro,No MCP Invoked,1,DeepSeek_V3.2_messages,4.12,1774,1659
2026-05-13T10:21:00Z,req-87d8a1f3bf83,conv-a1a47c7994,d-92675051d5.9b1ac779-7da0-470f-bfd8-fba1849ca111,Ben Foster,AI SDLC Enablement Team,AI Delivery Acceleration,KIRO_CLI,CLI,MANUAL,chat,guardrail-evaluation,spec-driven,Direct Kiro,jira,1,Claude_Sonnet_4.6_messages,10.83,4989,11100
2026-05-13T10:35:00Z,req-e8ed3a335cd7,conv-032b4f9e80,d-92675051d5.9b1ac779-7da0-470f-bfd8-fba1849ca111,Ben Foster,AI SDLC Enablement Team,AI Delivery Acceleration,KIRO_IDE,IDE,MANUAL,chat,guardrail-evaluation,spec-driven,GitHub,jira,7,Claude_Sonnet_4.6_messages,22.67,1502,8531
2026-05-13T10:43:00Z,req-dad5868cde5e,conv-b83c54f1d4,d-92675051d5.f12818d1-8f2c-4d54-9188-4f7224a4d103,Ethan Brooks,Payments Modernization Team,Payments Transformation,KIRO_IDE,IDE,MANUAL,transform,legacy-modernization,human-in-loop,GitHub,github,6,Auto_messages,3.25,3346,4393
