Month,UserId,User_Name,Group_Name,Box_Name,Subscription_Tier,Active_Days,Total_Messages,Total_Credits_Used,Total_Overage_Credits_Used,Primary_Client_Type,Top_Model
2026-04,d-92675051d5.0ec463de-81c2-4f79-9d4c-029f7bb0f101,Priya Nair,Payments Modernization Team,Payments Transformation,Power,27,3099,1649.76,0.0,KIRO_IDE,Claude_Sonnet_4.6_messages
2026-04,d-92675051d5.33a7a52f-dbf7-4f6b-89c9-43d30a61e104,Nina Patel,Retail Analytics Team,Retail Intelligence,ProPlus,21,957,419.89,0.0,KIRO_IDE,Claude_Sonnet_4.6_messages
2026-04,d-92675051d5.3b537ba7-2c3b-4a6c-aec6-61e594bd1109,Sam Walker,Platform Reliability Engineering,Platform Reliability,Pro,12,293,113.43,0.0,KIRO_IDE,Auto_messages
2026-04,d-92675051d5.4a0a1ddb-32de-4237-b40f-cbc81f6ae105,Omar Haddad,Retail Analytics Team,Retail Intelligence,Pro,19,509,196.24,0.0,KIRO_IDE,Auto_messages
2026-04,d-92675051d5.59888cc4-2dac-4454-a84e-b7968ad4e112,Chloe Martin,AI SDLC Enablement Team,AI Delivery Acceleration,Pro,24,1241,574.11,0.0,KIRO_IDE,Claude_Sonnet_4.6_messages
2026-04,d-92675051d5.6273ba8a-bb02-425f-b443-3d4dcb2c9108,Victor Chen,Platform Reliability Engineering,Platform Reliability,ProPlus,17,701,277.02,0.0,KIRO_CLI,Auto_messages
2026-04,d-92675051d5.797d1e6c-6d5f-41a9-8dc7-53d2ef14e102,Marco Silva,Payments Modernization Team,Payments Transformation,ProPlus,20,1193,572.8,0.0,KIRO_IDE,Claude_Sonnet_4.6_messages
2026-04,d-92675051d5.7f1ccf95-18df-4d5f-9d1b-7155a1be8114,Lucy Chen,Platform Reliability Engineering,Platform Reliability,ProPlus,15,244,91.69,0.0,KIRO_IDE,Auto_messages
2026-04,d-92675051d5.838f6b85-1e72-4404-a193-f1b0dc79d107,Elena Garcia,Platform Reliability Engineering,Platform Reliability,Power,23,1256,534.05,0.0,KIRO_IDE,Claude_Sonnet_4.6_messages
2026-04,d-92675051d5.9b1ac779-7da0-470f-bfd8-fba1849ca111,Ben Foster,AI SDLC Enablement Team,AI Delivery Acceleration,ProPlus,24,1371,689.96,0.0,KIRO_IDE,Claude_Sonnet_4.6_messages
2026-04,d-92675051d5.a9a3e94b-b147-4fb7-9934-f5ea941fd110,Aisha Khan,AI SDLC Enablement Team,AI Delivery Acceleration,Power,27,3392,1899.88,0.0,KIRO_IDE,Claude_Sonnet_4.6_messages
2026-04,d-92675051d5.f12818d1-8f2c-4d54-9188-4f7224a4d103,Ethan Brooks,Payments Modernization Team,Payments Transformation,Pro,21,990,407.75,0.0,KIRO_IDE,Auto_messages
2026-05,d-92675051d5.0ec463de-81c2-4f79-9d4c-029f7bb0f101,Priya Nair,Payments Modernization Team,Payments Transformation,Power,20,2526,1340.45,0.0,KIRO_IDE,Claude_Sonnet_4.6_messages
2026-05,d-92675051d5.33a7a52f-dbf7-4f6b-89c9-43d30a61e104,Nina Patel,Retail Analytics Team,Retail Intelligence,ProPlus,17,717,1201.8,0.0,KIRO_IDE,Claude_Sonnet_4.6_messages
2026-05,d-92675051d5.3b537ba7-2c3b-4a6c-aec6-61e594bd1109,Sam Walker,Platform Reliability Engineering,Platform Reliability,Pro,12,218,79.42,0.0,KIRO_IDE,Auto_messages
2026-05,d-92675051d5.4a0a1ddb-32de-4237-b40f-cbc81f6ae105,Omar Haddad,Retail Analytics Team,Retail Intelligence,Pro,13,399,153.55,0.0,KIRO_IDE,Auto_messages
2026-05,d-92675051d5.59888cc4-2dac-4454-a84e-b7968ad4e112,Chloe Martin,AI SDLC Enablement Team,AI Delivery Acceleration,Pro,17,767,357.95,0.0,KIRO_IDE,Claude_Sonnet_4.6_messages
2026-05,d-92675051d5.6273ba8a-bb02-425f-b443-3d4dcb2c9108,Victor Chen,Platform Reliability Engineering,Platform Reliability,ProPlus,17,651,259.96,0.0,KIRO_CLI,Auto_messages
2026-05,d-92675051d5.797d1e6c-6d5f-41a9-8dc7-53d2ef14e102,Marco Silva,Payments Modernization Team,Payments Transformation,ProPlus,18,1024,2000.0,286.24,KIRO_IDE,Claude_Sonnet_4.6_messages
2026-05,d-92675051d5.7e23e16f-5eb6-49f0-8e5d-a84c5ad99106,Casey Liu,Retail Analytics Team,Retail Intelligence,Pro,6,80,28.87,0.0,KIRO_IDE,Auto_messages
2026-05,d-92675051d5.7f1ccf95-18df-4d5f-9d1b-7155a1be8114,Lucy Chen,Platform Reliability Engineering,Platform Reliability,ProPlus,5,67,25.9,0.0,KIRO_CLI,Auto_messages
2026-05,d-92675051d5.838f6b85-1e72-4404-a193-f1b0dc79d107,Elena Garcia,Platform Reliability Engineering,Platform Reliability,Power,18,1003,425.85,0.0,KIRO_IDE,Claude_Sonnet_4.6_messages
2026-05,d-92675051d5.9b1ac779-7da0-470f-bfd8-fba1849ca111,Ben Foster,AI SDLC Enablement Team,AI Delivery Acceleration,ProPlus,21,1290,2000.0,703.99,KIRO_IDE,Claude_Sonnet_4.6_messages
2026-05,d-92675051d5.a9a3e94b-b147-4fb7-9934-f5ea941fd110,Aisha Khan,AI SDLC Enablement Team,AI Delivery Acceleration,Power,23,3104,2732.62,0.0,KIRO_IDE,Claude_Sonnet_4.6_messages
2026-05,d-92675051d5.f12818d1-8f2c-4d54-9188-4f7224a4d103,Ethan Brooks,Payments Modernization Team,Payments Transformation,Pro,13,456,187.4,0.0,KIRO_IDE,Auto_messages
